Period,Serie,VÃ¤rde
2018-08-20,1 EUR,10.4659
2018-08-21,1 EUR,10.5218
2018-08-22,1 EUR,10.5362
2018-08-23,1 EUR,10.5007
2018-08-24,1 EUR,10.5692
2018-08-27,1 EUR,10.6081
2018-08-28,1 EUR,10.6495
2018-08-29,1 EUR,10.6978
2018-08-30,1 EUR,10.6847
2018-08-31,1 EUR,10.6372
2018-09-03,1 EUR,10.6048
2018-09-04,1 EUR,10.5539
2018-09-05,1 EUR,10.5416
2018-09-06,1 EUR,10.5692
2018-09-07,1 EUR,10.58
2018-09-10,1 EUR,10.4503
2018-09-11,1 EUR,10.4978
2018-09-12,1 EUR,10.4988
2018-09-13,1 EUR,10.4435
2018-09-14,1 EUR,10.5116
2018-09-17,1 EUR,10.5143
2018-09-18,1 EUR,10.3984
2018-09-19,1 EUR,10.3801
2018-09-20,1 EUR,10.3607
2018-09-21,1 EUR,10.3319
2018-09-24,1 EUR,10.3334
2018-09-25,1 EUR,10.3183
2018-09-26,1 EUR,10.352
2018-09-27,1 EUR,10.3477
2018-09-28,1 EUR,10.2945
2018-10-01,1 EUR,10.3196
2018-10-02,1 EUR,10.3666
2018-10-03,1 EUR,10.3939
2018-10-04,1 EUR,10.3818
2018-10-05,1 EUR,10.4346
2018-10-08,1 EUR,10.4405
2018-10-09,1 EUR,10.4539
2018-10-10,1 EUR,10.4488
2018-10-11,1 EUR,10.4398
2018-10-12,1 EUR,10.3827
2018-10-15,1 EUR,10.3922
2018-10-16,1 EUR,10.35
2018-10-17,1 EUR,10.304
2018-10-18,1 EUR,10.3223
2018-10-19,1 EUR,10.3277
2018-10-22,1 EUR,10.3397
2018-10-23,1 EUR,10.3368
2018-10-24,1 EUR,10.3523
2018-10-25,1 EUR,10.4093
2018-10-26,1 EUR,10.3773
2018-10-29,1 EUR,10.4156
2018-10-30,1 EUR,10.3926
2018-10-31,1 EUR,10.4039
2018-11-01,1 EUR,10.3109
2018-11-02,1 EUR,10.2967
2018-11-05,1 EUR,10.3215
2018-11-06,1 EUR,10.3351
2018-11-07,1 EUR,10.3298
2018-11-08,1 EUR,10.2703
2018-11-09,1 EUR,10.2787
2018-11-12,1 EUR,10.2816
2018-11-13,1 EUR,10.2511
2018-11-14,1 EUR,10.2728
2018-11-15,1 EUR,10.2623
2018-11-16,1 EUR,10.2723
2018-11-19,1 EUR,10.2794
2018-11-20,1 EUR,10.312
2018-11-21,1 EUR,10.3353
2018-11-22,1 EUR,10.3144
2018-11-23,1 EUR,10.3045
2018-11-26,1 EUR,10.28
2018-11-27,1 EUR,10.3015
2018-11-28,1 EUR,10.2767
2018-11-29,1 EUR,10.2823
2018-11-30,1 EUR,10.3431
2018-12-03,1 EUR,10.2714
2018-12-04,1 EUR,10.226
2018-12-05,1 EUR,10.2299
2018-12-06,1 EUR,10.1952
2018-12-07,1 EUR,10.2274
2018-12-10,1 EUR,10.3157
2018-12-11,1 EUR,10.3118
2018-12-12,1 EUR,10.3138
2018-12-13,1 EUR,10.3099
2018-12-14,1 EUR,10.2928
2018-12-17,1 EUR,10.2619
2018-12-18,1 EUR,10.2949
2018-12-19,1 EUR,10.3103
2018-12-20,1 EUR,10.2978
2018-12-21,1 EUR,10.276
2018-12-27,1 EUR,10.3281
2018-12-28,1 EUR,10.2753
2019-01-02,1 EUR,10.2131
2019-01-03,1 EUR,10.2476
2019-01-04,1 EUR,10.2543
2019-01-07,1 EUR,10.2224
2019-01-08,1 EUR,10.1874
2019-01-09,1 EUR,10.2098
2019-01-10,1 EUR,10.2593
2019-01-11,1 EUR,10.2216
2019-01-14,1 EUR,10.2486
2019-01-15,1 EUR,10.2539
2019-01-16,1 EUR,10.2262
2019-01-17,1 EUR,10.2893
2019-01-18,1 EUR,10.2617
2019-01-21,1 EUR,10.2479
2019-01-22,1 EUR,10.2524
2019-01-23,1 EUR,10.251
2019-01-24,1 EUR,10.2686
2019-01-25,1 EUR,10.2931
2019-01-28,1 EUR,10.3337
2019-01-29,1 EUR,10.3484
2019-01-30,1 EUR,10.3808
2019-01-31,1 EUR,10.3697
2019-02-01,1 EUR,10.3573
2019-02-04,1 EUR,10.3736
2019-02-05,1 EUR,10.4196
2019-02-06,1 EUR,10.4236
2019-02-07,1 EUR,10.4832
2019-02-08,1 EUR,10.4974
2019-02-11,1 EUR,10.493
2019-02-12,1 EUR,10.4805
2019-02-13,1 EUR,10.4805
2019-02-14,1 EUR,10.4394
2019-02-15,1 EUR,10.5129
2019-02-18,1 EUR,10.4737
2019-02-19,1 EUR,10.527
2019-02-20,1 EUR,10.563
2019-02-21,1 EUR,10.5806
2019-02-22,1 EUR,10.5981
2019-02-25,1 EUR,10.5712
2019-02-26,1 EUR,10.58
2019-02-27,1 EUR,10.5518
2019-02-28,1 EUR,10.5213
2019-03-01,1 EUR,10.5071
2019-03-04,1 EUR,10.5281
2019-03-05,1 EUR,10.5832
2019-03-06,1 EUR,10.5371
2019-03-07,1 EUR,10.5222
2019-03-08,1 EUR,10.6208
2019-03-11,1 EUR,10.5903
2019-03-12,1 EUR,10.5562
2019-03-13,1 EUR,10.5623
2019-03-14,1 EUR,10.5139
2019-03-15,1 EUR,10.4936
2019-03-18,1 EUR,10.4687
2019-03-19,1 EUR,10.4711
2019-03-20,1 EUR,10.4451
2019-03-21,1 EUR,10.426
2019-03-22,1 EUR,10.454
2019-03-25,1 EUR,10.4574
2019-03-26,1 EUR,10.4556
2019-03-27,1 EUR,10.4357
2019-03-28,1 EUR,10.4735
2019-03-29,1 EUR,10.4221
2019-04-01,1 EUR,10.3932
2019-04-02,1 EUR,10.427
2019-04-03,1 EUR,10.4225
2019-04-04,1 EUR,10.4245
2019-04-05,1 EUR,10.4119
2019-04-08,1 EUR,10.4342
2019-04-09,1 EUR,10.4233
2019-04-10,1 EUR,10.4182
2019-04-11,1 EUR,10.4303
2019-04-12,1 EUR,10.4746
2019-04-15,1 EUR,10.4745
2019-04-16,1 EUR,10.4754
2019-04-17,1 EUR,10.4412
2019-04-18,1 EUR,10.4553
2019-04-23,1 EUR,10.4968
2019-04-24,1 EUR,10.508
2019-04-25,1 EUR,10.5818
2019-04-26,1 EUR,10.6042
2019-04-29,1 EUR,10.6065
2019-04-30,1 EUR,10.6377
2019-05-02,1 EUR,10.6895
2019-05-03,1 EUR,10.6969
2019-05-06,1 EUR,10.7158
2019-05-07,1 EUR,10.7157
2019-05-08,1 EUR,10.7254
2019-05-09,1 EUR,10.7814
2019-05-10,1 EUR,10.8193
2019-05-13,1 EUR,10.8465
2019-05-14,1 EUR,10.7932
2019-05-15,1 EUR,10.7782
2019-05-16,1 EUR,10.7694
2019-05-17,1 EUR,10.7763
2019-05-20,1 EUR,10.7543
2019-05-21,1 EUR,10.7984
2019-05-22,1 EUR,10.7677
2019-05-23,1 EUR,10.7401
2019-05-24,1 EUR,10.7419
2019-05-27,1 EUR,10.6903
2019-05-28,1 EUR,10.6786
2019-05-29,1 EUR,10.7042
2019-05-31,1 EUR,10.6376
2019-06-03,1 EUR,10.6104
2019-06-04,1 EUR,10.6204
2019-06-05,1 EUR,10.6179
2019-06-07,1 EUR,10.6367
2019-06-10,1 EUR,10.6478
2019-06-11,1 EUR,10.6602
2019-06-12,1 EUR,10.7075
2019-06-13,1 EUR,10.7045
2019-06-14,1 EUR,10.6854
2019-06-17,1 EUR,10.6473
2019-06-18,1 EUR,10.6352
2019-06-19,1 EUR,10.6913
2019-06-20,1 EUR,10.6321
2019-06-24,1 EUR,10.6212
2019-06-25,1 EUR,10.5617
2019-06-26,1 EUR,10.5371
2019-06-27,1 EUR,10.543
2019-06-28,1 EUR,10.5581
2019-07-01,1 EUR,10.5381
2019-07-02,1 EUR,10.5528
2019-07-03,1 EUR,10.5256
2019-07-04,1 EUR,10.5184
2019-07-05,1 EUR,10.539
2019-07-08,1 EUR,10.5882
2019-07-09,1 EUR,10.6085
2019-07-10,1 EUR,10.6197
2019-07-11,1 EUR,10.5922
2019-07-12,1 EUR,10.5519
2019-07-15,1 EUR,10.554
2019-07-16,1 EUR,10.5327
2019-07-17,1 EUR,10.5302
2019-07-18,1 EUR,10.5171
2019-07-19,1 EUR,10.5018
2019-07-22,1 EUR,10.5299
2019-07-23,1 EUR,10.5619
2019-07-24,1 EUR,10.5577
2019-07-25,1 EUR,10.5106
2019-07-26,1 EUR,10.5447
2019-07-29,1 EUR,10.5743
2019-07-30,1 EUR,10.6291
2019-07-31,1 EUR,10.6671
2019-08-01,1 EUR,10.6818
2019-08-02,1 EUR,10.7192
2019-08-05,1 EUR,10.7265
2019-08-06,1 EUR,10.7521
2019-08-07,1 EUR,10.739
2019-08-08,1 EUR,10.7868
2019-08-09,1 EUR,10.7127
2019-08-12,1 EUR,10.7105
2019-08-13,1 EUR,10.7273
2019-08-14,1 EUR,10.6708
2019-08-15,1 EUR,10.7177
2019-08-16,1 EUR,10.7321
2019-08-19,1 EUR,10.7292
2019-08-20,1 EUR,10.7273
2019-08-21,1 EUR,10.7409
2019-08-22,1 EUR,10.6706
2019-08-23,1 EUR,10.7142
2019-08-26,1 EUR,10.7288
2019-08-27,1 EUR,10.7302
2019-08-28,1 EUR,10.7274
2019-08-29,1 EUR,10.7811
2019-08-30,1 EUR,10.8078
2019-09-02,1 EUR,10.7888
2019-09-03,1 EUR,10.8095
2019-09-04,1 EUR,10.7448
2019-09-05,1 EUR,10.714
2019-09-06,1 EUR,10.6877
2019-09-09,1 EUR,10.6323
2019-09-10,1 EUR,10.7191
2019-09-11,1 EUR,10.6887
2019-09-12,1 EUR,10.6396
2019-09-13,1 EUR,10.6651
2019-09-16,1 EUR,10.6417
2019-09-17,1 EUR,10.6553
2019-09-18,1 EUR,10.7273
2019-09-19,1 EUR,10.7502
2019-09-20,1 EUR,10.6949
2019-09-23,1 EUR,10.7039
2019-09-24,1 EUR,10.6837
2019-09-25,1 EUR,10.6607
2019-09-26,1 EUR,10.6774
2019-09-27,1 EUR,10.6708
2019-09-30,1 EUR,10.7287
2019-10-01,1 EUR,10.769
2019-10-02,1 EUR,10.8014
2019-10-03,1 EUR,10.8374
2019-10-04,1 EUR,10.8188
2019-10-07,1 EUR,10.8182
2019-10-08,1 EUR,10.8676
2019-10-09,1 EUR,10.9051
2019-10-10,1 EUR,10.9056
2019-10-11,1 EUR,10.8167
2019-10-14,1 EUR,10.8504
2019-10-15,1 EUR,10.8204
2019-10-16,1 EUR,10.8159
2019-10-17,1 EUR,10.8697
2019-10-18,1 EUR,10.7774
2019-10-21,1 EUR,10.7761
2019-10-22,1 EUR,10.7342
2019-10-23,1 EUR,10.739
2019-10-24,1 EUR,10.6746
2019-10-25,1 EUR,10.7426
2019-10-28,1 EUR,10.73
2019-10-29,1 EUR,10.7807
2019-10-30,1 EUR,10.8058
2019-10-31,1 EUR,10.7506
2019-11-01,1 EUR,10.7356
2019-11-04,1 EUR,10.6682
2019-11-05,1 EUR,10.679
2019-11-06,1 EUR,10.6839
2019-11-07,1 EUR,10.6495
2019-11-08,1 EUR,10.658
2019-11-11,1 EUR,10.7161
2019-11-12,1 EUR,10.6971
2019-11-13,1 EUR,10.7137
2019-11-14,1 EUR,10.7129
2019-11-15,1 EUR,10.6617
2019-11-18,1 EUR,10.6503
2019-11-19,1 EUR,10.6542
2019-11-20,1 EUR,10.7276
2019-11-21,1 EUR,10.6758
2019-11-22,1 EUR,10.6276
2019-11-25,1 EUR,10.5844
2019-11-26,1 EUR,10.5973
2019-11-27,1 EUR,10.5562
2019-11-28,1 EUR,10.5581
2019-11-29,1 EUR,10.5137
2019-12-02,1 EUR,10.5443
2019-12-03,1 EUR,10.5365
2019-12-04,1 EUR,10.5773
2019-12-05,1 EUR,10.5309
2019-12-06,1 EUR,10.5341
2019-12-09,1 EUR,10.518
2019-12-10,1 EUR,10.5565
2019-12-11,1 EUR,10.506
2019-12-12,1 EUR,10.4507
2019-12-13,1 EUR,10.4474
2019-12-16,1 EUR,10.4409
2019-12-17,1 EUR,10.4639
2019-12-18,1 EUR,10.4684
2019-12-19,1 EUR,10.4646
2019-12-20,1 EUR,10.46
2019-12-23,1 EUR,10.4497
2019-12-27,1 EUR,10.4489
2019-12-30,1 EUR,10.4336
2020-01-02,1 EUR,10.4625
2020-01-03,1 EUR,10.4962
2020-01-07,1 EUR,10.5218
2020-01-08,1 EUR,10.5116
2020-01-09,1 EUR,10.5069
2020-01-10,1 EUR,10.5458
2020-01-13,1 EUR,10.5743
2020-01-14,1 EUR,10.552
2020-01-15,1 EUR,10.5393
2020-01-16,1 EUR,10.5526
2020-01-17,1 EUR,10.5674
2020-01-20,1 EUR,10.5586
2020-01-21,1 EUR,10.5714
2020-01-22,1 EUR,10.5567
2020-01-23,1 EUR,10.5392
2020-01-24,1 EUR,10.5388
2020-01-27,1 EUR,10.5662
2020-01-28,1 EUR,10.6145
2020-01-29,1 EUR,10.5818
2020-01-30,1 EUR,10.6284
2020-01-31,1 EUR,10.6529
2020-02-03,1 EUR,10.6701
2020-02-04,1 EUR,10.6484
2020-02-05,1 EUR,10.5706
2020-02-06,1 EUR,10.5439
2020-02-07,1 EUR,10.5758
2020-02-10,1 EUR,10.566
2020-02-11,1 EUR,10.5428
2020-02-12,1 EUR,10.507
2020-02-13,1 EUR,10.4941
2020-02-14,1 EUR,10.495
2020-02-17,1 EUR,10.5289
2020-02-18,1 EUR,10.5506
2020-02-19,1 EUR,10.5822
2020-02-20,1 EUR,10.5895
2020-02-21,1 EUR,10.6031
2020-02-24,1 EUR,10.5862
2020-02-25,1 EUR,10.5623
2020-02-26,1 EUR,10.5751
2020-02-27,1 EUR,10.5827
2020-02-28,1 EUR,10.6621
2020-03-02,1 EUR,10.5533
2020-03-03,1 EUR,10.5698
2020-03-04,1 EUR,10.55
2020-03-05,1 EUR,10.5499
2020-03-06,1 EUR,10.5973
2020-03-09,1 EUR,10.7283
2020-03-10,1 EUR,10.7451
2020-03-11,1 EUR,10.7367
2020-03-12,1 EUR,10.7704
2020-03-13,1 EUR,10.9129
2020-03-16,1 EUR,10.799
2020-03-17,1 EUR,10.9161
2020-03-18,1 EUR,10.9268
2020-03-19,1 EUR,11.2265
2020-03-20,1 EUR,11.0467
2020-03-23,1 EUR,11.1672
2020-03-24,1 EUR,11.0299
2020-03-25,1 EUR,10.8823
2020-03-26,1 EUR,11.0162
2020-03-27,1 EUR,10.9763
2020-03-30,1 EUR,11.0187
2020-03-31,1 EUR,11.0832
2020-04-01,1 EUR,10.9377
2020-04-02,1 EUR,10.9461
2020-04-03,1 EUR,10.9627
2020-04-06,1 EUR,10.9519
2020-04-07,1 EUR,10.8885
2020-04-08,1 EUR,10.9571
2020-04-09,1 EUR,10.9078
2020-04-14,1 EUR,10.8821
2020-04-15,1 EUR,10.9446
2020-04-16,1 EUR,10.9289
2020-04-17,1 EUR,10.8641
2020-04-20,1 EUR,10.8706
2020-04-21,1 EUR,10.8882
2020-04-22,1 EUR,10.9559
2020-04-23,1 EUR,10.9264
2020-04-24,1 EUR,10.8422
2020-04-27,1 EUR,10.843
2020-04-28,1 EUR,10.8188
2020-04-29,1 EUR,10.6994
2020-04-30,1 EUR,10.7053
2020-05-04,1 EUR,10.833
2020-05-05,1 EUR,10.7118
2020-05-06,1 EUR,10.6278
2020-05-07,1 EUR,10.6094
2020-05-08,1 EUR,10.6047
2020-05-11,1 EUR,10.5952
2020-05-12,1 EUR,10.6545
2020-05-13,1 EUR,10.6116
2020-05-14,1 EUR,10.6354
2020-05-15,1 EUR,10.6037
2020-05-18,1 EUR,10.623
2020-05-19,1 EUR,10.5752
2020-05-20,1 EUR,10.5876
2020-05-22,1 EUR,10.5652
2020-05-25,1 EUR,10.5449
2020-05-26,1 EUR,10.5459
2020-05-27,1 EUR,10.5556
2020-05-28,1 EUR,10.5763
2020-05-29,1 EUR,10.517
2020-06-01,1 EUR,10.4435
2020-06-02,1 EUR,10.4312
2020-06-03,1 EUR,10.398
2020-06-04,1 EUR,10.4589
2020-06-05,1 EUR,10.3968
2020-06-08,1 EUR,10.3872
2020-06-09,1 EUR,10.421
2020-06-10,1 EUR,10.4238
2020-06-11,1 EUR,10.4781
2020-06-12,1 EUR,10.5143
2020-06-15,1 EUR,10.558
2020-06-16,1 EUR,10.5153
2020-06-17,1 EUR,10.5363
2020-06-18,1 EUR,10.5014
2020-06-22,1 EUR,10.5535
2020-06-23,1 EUR,10.5297
2020-06-24,1 EUR,10.5049
2020-06-25,1 EUR,10.5164
2020-06-26,1 EUR,10.4575
2020-06-29,1 EUR,10.4734
2020-06-30,1 EUR,10.4804
2020-07-01,1 EUR,10.4593
2020-07-02,1 EUR,10.4547
2020-07-03,1 EUR,10.4686
2020-07-06,1 EUR,10.5172
2020-07-07,1 EUR,10.4859
2020-07-08,1 EUR,10.4214
2020-07-09,1 EUR,10.407
2020-07-10,1 EUR,10.4142
2020-07-13,1 EUR,10.3957
2020-07-14,1 EUR,10.4128
2020-07-15,1 EUR,10.3624
2020-07-16,1 EUR,10.3681
2020-07-17,1 EUR,10.3369
2020-07-20,1 EUR,10.328
2020-07-21,1 EUR,10.2578
2020-07-22,1 EUR,10.2392
2020-07-23,1 EUR,10.2564
2020-07-24,1 EUR,10.297
2020-07-27,1 EUR,10.2895
2020-07-28,1 EUR,10.2814
2020-07-29,1 EUR,10.2725
2020-07-30,1 EUR,10.3134
2020-07-31,1 EUR,10.2946
2020-08-03,1 EUR,10.33
2020-08-04,1 EUR,10.2853
2020-08-05,1 EUR,10.2911
2020-08-06,1 EUR,10.2959
2020-08-07,1 EUR,10.3068
2020-08-10,1 EUR,10.297
2020-08-11,1 EUR,10.2695
2020-08-12,1 EUR,10.2757
2020-08-13,1 EUR,10.2617
2020-08-14,1 EUR,10.2741
2020-08-17,1 EUR,10.2893
2020-08-18,1 EUR,10.3092
2020-08-19,1 EUR,10.3183
2020-08-20,1 EUR,10.3251
2020-08-21,1 EUR,10.3372
2020-08-24,1 EUR,10.3618
2020-08-25,1 EUR,10.3621
2020-08-26,1 EUR,10.365
2020-08-27,1 EUR,10.3149
2020-08-28,1 EUR,10.2951
2020-08-31,1 EUR,10.2832
2020-09-01,1 EUR,10.3155
2020-09-02,1 EUR,10.3363
2020-09-03,1 EUR,10.3168
2020-09-04,1 EUR,10.3579
2020-09-07,1 EUR,10.3568
2020-09-08,1 EUR,10.3605
2020-09-09,1 EUR,10.3896
2020-09-10,1 EUR,10.3473
2020-09-11,1 EUR,10.3685
2020-09-14,1 EUR,10.3861
2020-09-15,1 EUR,10.4132
2020-09-16,1 EUR,10.4097
2020-09-17,1 EUR,10.403
2020-09-18,1 EUR,10.4076
2020-09-21,1 EUR,10.3871
2020-09-22,1 EUR,10.4211
2020-09-23,1 EUR,10.4452
2020-09-24,1 EUR,10.5359
2020-09-25,1 EUR,10.6204
2020-09-28,1 EUR,10.5987
2020-09-29,1 EUR,10.5553
2020-09-30,1 EUR,10.541
2020-10-01,1 EUR,10.4933
2020-10-02,1 EUR,10.4648
2020-10-05,1 EUR,10.4525
2020-10-06,1 EUR,10.4859
2020-10-07,1 EUR,10.5123
2020-10-08,1 EUR,10.4369
2020-10-09,1 EUR,10.4201
2020-10-12,1 EUR,10.3876
2020-10-13,1 EUR,10.392
2020-10-14,1 EUR,10.3645
2020-10-15,1 EUR,10.3937
2020-10-16,1 EUR,10.3749
2020-10-19,1 EUR,10.3454
2020-10-20,1 EUR,10.3982
2020-10-21,1 EUR,10.3405
2020-10-22,1 EUR,10.3644
2020-10-23,1 EUR,10.3553
2020-10-26,1 EUR,10.3765
2020-10-27,1 EUR,10.3328
2020-10-28,1 EUR,10.3117
2020-10-29,1 EUR,10.3945
2020-10-30,1 EUR,10.4015
2020-11-02,1 EUR,10.3841
2020-11-03,1 EUR,10.3746
2020-11-04,1 EUR,10.3562
2020-11-05,1 EUR,10.2941
2020-11-06,1 EUR,10.3068
2020-11-09,1 EUR,10.2481
2020-11-10,1 EUR,10.2012
2020-11-11,1 EUR,10.181
2020-11-12,1 EUR,10.179
2020-11-13,1 EUR,10.2144
2020-11-16,1 EUR,10.2546
2020-11-17,1 EUR,10.2179
2020-11-18,1 EUR,10.2078
2020-11-19,1 EUR,10.2227
2020-11-20,1 EUR,10.2122
2020-11-23,1 EUR,10.2063
2020-11-24,1 EUR,10.2006
2020-11-25,1 EUR,10.1604
2020-11-26,1 EUR,10.1553
2020-11-27,1 EUR,10.1594
2020-11-30,1 EUR,10.1579
2020-12-01,1 EUR,10.2064
2020-12-02,1 EUR,10.2668
2020-12-03,1 EUR,10.2743
2020-12-04,1 EUR,10.2666
2020-12-07,1 EUR,10.2823
2020-12-08,1 EUR,10.1953
2020-12-09,1 EUR,10.2473
2020-12-10,1 EUR,10.2483
2020-12-11,1 EUR,10.2549
2020-12-14,1 EUR,10.2252
2020-12-15,1 EUR,10.2169
2020-12-16,1 EUR,10.1718
2020-12-17,1 EUR,10.1645
2020-12-18,1 EUR,10.1298
2020-12-21,1 EUR,10.1787
2020-12-22,1 EUR,10.1042
2020-12-23,1 EUR,10.1164
2020-12-28,1 EUR,10.06
2020-12-29,1 EUR,10.1014
2020-12-30,1 EUR,10.0375
2021-01-04,1 EUR,10.053
2021-01-05,1 EUR,10.0774
2021-01-07,1 EUR,10.073
2021-01-08,1 EUR,10.0516
2021-01-11,1 EUR,10.0753
2021-01-12,1 EUR,10.0725
2021-01-13,1 EUR,10.074
2021-01-14,1 EUR,10.1203
2021-01-15,1 EUR,10.1107
2021-01-18,1 EUR,10.1476
2021-01-19,1 EUR,10.1265
2021-01-20,1 EUR,10.1343
2021-01-21,1 EUR,10.1012
2021-01-22,1 EUR,10.0846
2021-01-25,1 EUR,10.065
2021-01-26,1 EUR,10.0744
2021-01-27,1 EUR,10.0957
2021-01-28,1 EUR,10.135
2021-01-29,1 EUR,10.1263
2021-02-01,1 EUR,10.1431
2021-02-02,1 EUR,10.1473
2021-02-03,1 EUR,10.1138
2021-02-04,1 EUR,10.1126
2021-02-05,1 EUR,10.1184
2021-02-08,1 EUR,10.1011
2021-02-09,1 EUR,10.1162
2021-02-10,1 EUR,10.0557
2021-02-11,1 EUR,10.0897
2021-02-12,1 EUR,10.0957
2021-02-15,1 EUR,10.0437
2021-02-16,1 EUR,10.0435
2021-02-17,1 EUR,10.0412
2021-02-18,1 EUR,10.0264
2021-02-19,1 EUR,10.057
2021-02-22,1 EUR,10.0451
2021-02-23,1 EUR,10.0807
2021-02-24,1 EUR,10.0709
2021-02-25,1 EUR,10.0633
2021-02-26,1 EUR,10.0997
2021-03-01,1 EUR,10.1703
2021-03-02,1 EUR,10.1605
2021-03-03,1 EUR,10.135
2021-03-04,1 EUR,10.1576
2021-03-05,1 EUR,10.1834
2021-03-08,1 EUR,10.1741
2021-03-09,1 EUR,10.1588
2021-03-10,1 EUR,10.1309
2021-03-11,1 EUR,10.0996
2021-03-12,1 EUR,10.1421
2021-03-15,1 EUR,10.1612
2021-03-16,1 EUR,10.1534
2021-03-17,1 EUR,10.1309
2021-03-18,1 EUR,10.1339
2021-03-19,1 EUR,10.1415
2021-03-22,1 EUR,10.1884
2021-03-23,1 EUR,10.1763
2021-03-24,1 EUR,10.1912
2021-03-25,1 EUR,10.1794
2021-03-26,1 EUR,10.1863
2021-03-29,1 EUR,10.2046
2021-03-30,1 EUR,10.233
2021-03-31,1 EUR,10.2376
2021-04-01,1 EUR,10.2626
2021-04-06,1 EUR,10.2809
2021-04-07,1 EUR,10.2337
2021-04-08,1 EUR,10.2204
2021-04-09,1 EUR,10.1773
2021-04-12,1 EUR,10.1778
2021-04-13,1 EUR,10.2039
2021-04-14,1 EUR,10.1565
2021-04-15,1 EUR,10.1251
2021-04-16,1 EUR,10.106
2021-04-19,1 EUR,10.1041
2021-04-20,1 EUR,10.1039
2021-04-21,1 EUR,10.1495
2021-04-22,1 EUR,10.1163
2021-04-23,1 EUR,10.1273
2021-04-26,1 EUR,10.1259
2021-04-27,1 EUR,10.1235
2021-04-28,1 EUR,10.1266
2021-04-29,1 EUR,10.1146
